first5_sig_events,last5_sig_events
,
,lose
,both_rewarded
,win
,both_rewarded; lose
,lose; win
,both_rewarded; win
,both_rewarded; lose; win
lose,
lose,lose
lose,both_rewarded
lose,win
lose,both_rewarded; lose
lose,lose; win
lose,both_rewarded; win
lose,both_rewarded; lose; win
both_rewarded,
both_rewarded,lose
both_rewarded,both_rewarded
both_rewarded,win
both_rewarded,both_rewarded; lose
both_rewarded,lose; win
both_rewarded,both_rewarded; win
both_rewarded,both_rewarded; lose; win
win,
win,lose
win,both_rewarded
win,win
win,both_rewarded; lose
win,lose; win
win,both_rewarded; win
win,both_rewarded; lose; win
both_rewarded; lose,
both_rewarded; lose,lose
both_rewarded; lose,both_rewarded
both_rewarded; lose,win
both_rewarded; lose,both_rewarded; lose
both_rewarded; lose,lose; win
both_rewarded; lose,both_rewarded; win
both_rewarded; lose,both_rewarded; lose; win
lose; win,
lose; win,lose
lose; win,both_rewarded
lose; win,win
lose; win,both_rewarded; lose
lose; win,lose; win
lose; win,both_rewarded; win
lose; win,both_rewarded; lose; win
both_rewarded; win,
both_rewarded; win,lose
both_rewarded; win,both_rewarded
both_rewarded; win,win
both_rewarded; win,both_rewarded; lose
both_rewarded; win,lose; win
both_rewarded; win,both_rewarded; win
both_rewarded; win,both_rewarded; lose; win
both_rewarded; lose; win,
both_rewarded; lose; win,lose
both_rewarded; lose; win,both_rewarded
both_rewarded; lose; win,win
both_rewarded; lose; win,both_rewarded; lose
both_rewarded; lose; win,lose; win
both_rewarded; lose; win,both_rewarded; win
both_rewarded; lose; win,both_rewarded; lose; win
