original unit id,Wilcoxon Stat,p value,event1 vs event2,Recording,Subject,Event
38,0.0,0.027707849358079864,decreases,20230618_100636_standard_comp_to_omission_D2_subj_1_1_t1b2L_box2_merged.rec,1_1,10s lose vs 10s baseline
14,2.0,0.003688569677208209,increases,20230618_100636_standard_comp_to_omission_D2_subj_1_1_t1b2L_box2_merged.rec,1_1,10s win vs 10s baseline
38,19.0,0.03546470751403722,increases,20230618_100636_standard_comp_to_omission_D2_subj_1_1_t1b2L_box2_merged.rec,1_1,10s win vs 10s baseline
89,15.0,0.03304694365260125,increases,20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1_1,10s win vs 10s baseline
85,6.0,0.0057715890441035304,increases,20230620_114347_standard_comp_to_omission_D4_subj_1-1_t1b2L_box_2_merged.rec,1_1,10s win vs 10s baseline
162,10.0,0.013103614110038467,increases,20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1_2,10s lose vs 10s baseline
203,11.5,0.030275842439844103,increases,20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1_2,10s lose vs 10s baseline
227,10.5,0.025313519968766574,increases,20230620_114347_standard_comp_to_omission_D4_subj_1-2_t3b3L_box_1_merged.rec,1_2,10s lose vs 10s baseline
38,16.0,0.021943664659377984,increases,20230618_100636_standard_comp_to_omission_D2_subj_1_4_t4b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
42,13.0,0.013150364234284668,increases,20230618_100636_standard_comp_to_omission_D2_subj_1_4_t4b3L_box1_merged.rec,1_4,10s lose vs 10s baseline
4,0.0,0.027707849358079864,decreases,20230618_100636_standard_comp_to_omission_D2_subj_1_4_t4b3L_box1_merged.rec,1_4,10s win vs 10s baseline
30,0.0,0.043114446783075355,decreases,20230618_100636_standard_comp_to_omission_D2_subj_1_4_t4b3L_box1_merged.rec,1_4,10s win vs 10s baseline
18,0.0,0.027707849358079864,decreases,20230618_100636_standard_comp_to_omission_D2_subj_1_4_t4b3L_box1_merged.rec,1_4,10s win vs 10s baseline
9,1.0,0.046399461870904594,increases,20230618_100636_standard_comp_to_omission_D2_subj_1_4_t4b3L_box1_merged.rec,1_4,10s win vs 10s baseline
